"name"	"mz"	"01_sample"	"02_sample"	"03_sample"	"04_sample"	"05_sample"	"06_sample"	"07_sample"	"08_sample"	"09_sample"	"10_sample"	"23_pool"	"24_pool"	"71_blank"	"72_blank"
"PC_22:1_[M+OAC]1- / PS_26:0_[M-H]1-"	650.4039	0.00160000000005311	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cer_38:2_[M+OAC]1-"	650.5729	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LPI_22:2_[M-H]1-"	651.3515	0	0	0	0	0.00839999999993779	0	0	0	0	0	-0.00840000000005148	0	0	0.00909999999998945
"PA_33:5_[M-H]1-"	651.4031	-0.00720000000001164	-0.00850000000002638	0.0060999999999467	0	0	0	0	-0.00750000000005002	0	0	-0.00750000000005002	-0.00909999999998945	0	-0.00909999999998945
"PG_27:0_[M-H]1-"	651.4243	0.00840000000005148	-0.0040000000000191	-0.00879999999995107	0	0	0	0	0.00540000000000873	0	0	0.0081000000000131	-0.00189999999997781	0	-0.0040000000000191
"PG-O_28:0_[M-H]1-"	651.4606	0	0	0.0080000000000382	0	0.00869999999997617	0	0	-0.00860000000000127	0	0	0	0	-0.0080000000000382	0
"PC_22:0_[M+OAC]1-"	652.4195	0	0	0	0	0	-0.00679999999999836	0	0	0	0	0	0	0	0
"LPC-2O_24:0_[M+OAC]1-"	652.4923	0	0	0	0	0	0	0	0.00480000000004566	0	-0.00990000000001601	0	0	0	0
"Cer_38:1_[M+OAC]1-"	652.5885	0	0	0	-0.00870000000008986	-0.0080000000000382	-0.00830000000007658	-0.00270000000000437	-0.00229999999999109	0	-0.00970000000006621	0	0	0	0
"LPI_22:1_[M-H]1-"	653.3671	0	0	0	0.00940000000002783	-0.00959999999997763	0	0	0	-0.00719999999989795	0	0	0	0	0
"PA_33:4_[M-H]1-"	653.4188	-0.00779999999997472	0	0	0	0.00570000000004711	0	0	0	0	0	-0.00720000000001164	-0.00490000000002055	0	0
"PE_30:4_[M-H]1-"	654.414	0	0	0	0	0	0	0	0	0	0	-0.00739999999996144	0	0	0
"Cer_40:2_[M+Cl]1-"	654.5597	0	0	0.00950000000000273	0.0165000000000646	0.0194999999999936	0.00850000000002638	0.00840000000005148	0.00890000000003965	0.0167000000000144	0.016399999999976	0.00940000000002783	0	0	0
"LPI_22:0_[M-H]1-"	655.3828	0	0	0	0	0	0	0	0.00860000000000127	0	0	0	0	0	0
"PA_33:3_[M-H]1-"	655.4344	-0.00840000000005148	-0.00970000000006621	0	0.00889999999992597	0	0.00639999999998508	0.0112000000000307	0	0.00919999999996435	0.00959999999997763	-0.00990000000001601	-0.00760000000002492	0.00909999999998945	-0.00610000000006039
"PC_24:0_[M+Cl]1-"	656.4064	0	0	0	0.00959999999997763	0	0	-0.00720000000001164	0	0	0	0	0	-0.00909999999998945	0
"PE_30:3_[M-H]1-"	656.4297	0	0	0	0	0	0	0.00200000000006639	0	0	0	-0.00950000000000273	0	0.000900000000001455	0
"Cer_40:1_[M+Cl]1-"	656.5754	0	0	0	0	0	0	0	0	0.00989999999990232	0.00949999999988904	0	0	0	0
"PA_33:2_[M-H]1-"	657.4501	-0.000999999999976353	0	0	0	0	0	0	0	0	0	-0.0117999999999938	-0.00850000000002638	0	0
"PE_30:2_[M-H]1-"	658.4453	0	0	0	0	0	0	0	0	0.00889999999992597	0	0	0	0	0
"PE-P_31:1_[M-H]1-"	658.4817	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PA_33:1_[M-H]1-"	659.4657	0	0	0	0	-0.00720000000001164	0	0	0	0	0	0.00720000000001164	0	0	0
"PE_30:1_[M-H]1-"	660.461	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE-O_31:1_[M-H]1-"	660.4974	0	0	0	0	-0.00750000000005002	0	0	0	-0.00950000000000273	0	0	0	0	0
